UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1944,RRCROMQQ,L,,308,1704.0,30.9,61.0,,,0.0,0.0,0.0,0.0
1945,RRCROMQQ,L,,308.1,1791.0,27.3,63.0,0.0,0.0,0.0,0.0,0.0,
1946,PSRXCDFQ,L,298.1,,1616.0,32.8,65.0,0.0,0.0,0.0,0.0,0.0,0.0
1947,BQHTAHUP,L,298.2,308.1,1622.0,34.9,67.0,0.0,0.0,0.0,0.0,0.0,
1948,3HURBGV7,L,,308.1,1462.0,49.9,69.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,PSRXCDFQ,L,,308.1,1410.0,45.8,71.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,BJGORJJD,M,,,1543.0,41.9,73.0,0.0,0.0,,0.0,,0.0
1951,LSRXCBBX,M,298.0,307.9,,47.6,76.0,0.0,0.0,0.0,0.0,0.0,
1952,I2VROP6D,L,298.0,,1839.0,22.7,79.0,0.0,0.0,,0.0,0.0,0.0
1953,JKSA1NQT,L,,307.8,1266.0,60.5,81.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,BQHTAHUP,L,297.9,307.7,1593.0,34.9,83.0,0.0,,,0.0,0.0,0.0
1955,ZLNM5UXX,L,297.9,307.8,1459.0,46.9,85.0,0.0,,0.0,0.0,0.0,0.0
1956,PSRXCDFQ,L,297.9,307.7,1308.0,55.2,87.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,JT4UYCMS,M,297.9,307.7,1364.0,,89.0,0.0,0.0,0.0,0.0,0.0,
1958,RRCROMQQ,H,297.9,307.7,1618.0,35.9,92.0,,0.0,0.0,0.0,0.0,0.0
1959,SXOJLV1H,H,297.9,307.7,1464.0,43.2,97.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,BJGORJJD,M,297.8,307.6,1352.0,49.4,102.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,LSRXCBBX,L,,,1446.0,51.4,105.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,BJGORJJD,L,,,1448.0,51.2,107.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,BQHTAHUP,L,297.8,307.5,1391.0,,109.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,8B6QZ6CV,L,297.7,307.5,1379.0,43.3,111.0,0.0,0.0,,0.0,0.0,0.0
1965,I2VROP6D,M,297.8,307.5,,46.9,113.0,0.0,0.0,,0.0,0.0,0.0
1966,PSRXCDFQ,L,,307.5,1581.0,33.1,116.0,,0.0,0.0,0.0,0.0,0.0
1967,8B6QZ6CV,L,297.9,307.6,1515.0,40.5,118.0,0.0,0.0,,0.0,0.0,0.0
1968,XWW2WAV6,L,297.9,307.6,1589.0,37.8,120.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,ZLNM5UXX,L,,307.6,1281.0,50.8,122.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,RRCROMQQ,H,297.8,,1631.0,31.3,124.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,G5AIQWJK,M,297.9,307.6,1202.0,67.0,129.0,0.0,,0.0,0.0,0.0,0.0
1972,ZLNM5UXX,L,297.9,,1298.0,52.7,132.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,ZLNM5UXX,L,297.9,307.6,1612.0,30.7,134.0,0.0,0.0,0.0,0.0,0.0,
1974,WX8CE3B8,L,,307.6,,25.3,136.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,SXOJLV1H,L,298.0,307.6,1450.0,48.7,138.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,JT4UYCMS,L,,307.7,1422.0,45.6,140.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,0KXKNHFG,M,298.1,307.7,1419.0,47.4,142.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,RRCROMQQ,M,298.1,307.7,1633.0,30.7,145.0,0.0,0.0,,0.0,0.0,0.0
1979,BQHTAHUP,L,298.0,307.7,,,148.0,0.0,0.0,0.0,,0.0,0.0
1980,0KXKNHFG,H,298.0,307.6,1420.0,45.8,150.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,I2VROP6D,M,,307.6,1301.0,58.5,155.0,0.0,0.0,0.0,,0.0,
1982,JKSA1NQT,L,,307.6,1385.0,45.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,SXOJLV1H,M,,307.7,1487.0,41.3,160.0,,0.0,0.0,0.0,0.0,0.0
1984,YSLIFO7U,M,298.0,307.6,1459.0,44.4,163.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,BQHTAHUP,M,298.0,307.5,1387.0,45.5,,0.0,0.0,0.0,0.0,0.0,0.0
1986,8B6QZ6CV,L,298.1,307.7,1537.0,,169.0,0.0,0.0,0.0,,0.0,0.0
1987,AEKNJJ1R,L,298.1,307.6,1498.0,42.9,171.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,I2VROP6D,M,298.2,307.8,1599.0,31.2,173.0,,0.0,0.0,0.0,0.0,0.0
1989,XWW2WAV6,H,,307.9,1420.0,39.2,,0.0,0.0,,,,0.0
1990,YSLIFO7U,L,298.2,307.9,1785.0,23.4,181.0,0.0,,0.0,0.0,0.0,0.0
1991,ZLNM5UXX,L,298.2,307.8,1423.0,48.1,183.0,0.0,,0.0,,0.0,0.0
1992,XWW2WAV6,M,298.2,,1583.0,,185.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,8B6QZ6CV,L,298.2,307.8,1375.0,46.6,,0.0,0.0,0.0,0.0,0.0,0.0
1994,T8CRV8S7,M,,308,1463.0,42.5,190.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,AEKNJJ1R,M,,,1403.0,45.1,193.0,0.0,,0.0,0.0,0.0,0.0
1996,3HURBGV7,L,298.3,308,1451.0,47.1,196.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,SXOJLV1H,M,,308,1416.0,38.2,198.0,1.0,1.0,0.0,0.0,0.0,0.0
1998,PSRXCDFQ,L,298.3,308.1,1672.0,,0.0,,0.0,,0.0,0.0,0.0
1999,AEKNJJ1R,H,,308,1637.0,30.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,RRCROMQQ,L,,308,,37.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,PSRXCDFQ,L,,308.1,1279.0,53.1,9.0,0.0,,,0.0,0.0,
2002,BQHTAHUP,L,298.4,308.2,1604.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,ZLNM5UXX,L,298.5,308.2,1654.0,27.1,13.0,0.0,,0.0,0.0,0.0,0.0
2004,BQHTAHUP,M,,308.2,,37.5,,0.0,0.0,0.0,0.0,0.0,0.0
2005,SXOJLV1H,L,,308.2,1451.0,47.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0KXKNHFG,L,298.5,308.3,1504.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,WX8CE3B8,M,298.5,,1381.0,50.5,22.0,0.0,,,0.0,0.0,0.0
2008,LSRXCBBX,L,298.6,308.4,1562.0,34.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,T8CRV8S7,L,,308.3,,24.7,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0KXKNHFG,M,298.6,308.3,1717.0,28.7,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,ZLNM5UXX,L,298.6,308.3,1278.0,60.5,32.0,0.0,0.0,,0.0,0.0,0.0
2012,PSRXCDFQ,L,298.7,308.5,1616.0,30.2,34.0,0.0,0.0,0.0,0.0,0.0,
2013,SXOJLV1H,L,298.6,308.4,1397.0,46.4,36.0,0.0,0.0,0.0,,0.0,0.0
2014,BJGORJJD,L,,308.4,1485.0,42.9,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,BQHTAHUP,L,,308.4,1310.0,59.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,WX8CE3B8,L,298.5,308.2,1301.0,66.3,42.0,1.0,0.0,0.0,1.0,0.0,0.0
2017,SXOJLV1H,L,298.5,308.3,1458.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,SXOJLV1H,L,298.7,,1483.0,42.5,46.0,0.0,,0.0,0.0,0.0,
2019,XWW2WAV6,L,,,1375.0,46.4,48.0,0.0,,0.0,0.0,0.0,
2020,I2VROP6D,M,,308.5,1660.0,27.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,8B6QZ6CV,H,298.7,,1560.0,33.3,53.0,0.0,,0.0,0.0,0.0,0.0
2022,G5AIQWJK,L,298.7,308.5,1480.0,42.2,58.0,0.0,,0.0,0.0,0.0,0.0
2023,FPIVWX8Z,L,298.7,308.4,1373.0,46.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,PSRXCDFQ,L,,308.5,1444.0,54.2,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,8B6QZ6CV,M,298.7,308.6,1722.0,24.7,,0.0,0.0,0.0,0.0,0.0,0.0
2026,JKSA1NQT,L,298.7,,1469.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,T8CRV8S7,M,298.7,308.5,1360.0,52.9,,0.0,0.0,0.0,0.0,0.0,0.0
2028,AEKNJJ1R,L,298.7,,1750.0,25.8,72.0,0.0,0.0,,0.0,,
2029,YSLIFO7U,M,298.7,308.3,1349.0,46.6,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,JT4UYCMS,L,298.7,308.5,1668.0,35.2,,0.0,0.0,0.0,0.0,0.0,0.0
2031,0KXKNHFG,L,,308.6,1400.0,49.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,JKSA1NQT,L,,308.6,1331.0,62.8,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,BQHTAHUP,L,298.8,308.5,1444.0,42.2,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,I2VROP6D,H,,308.5,1359.0,47.6,85.0,0.0,,0.0,0.0,0.0,0.0
2035,8B6QZ6CV,M,298.8,308.5,1425.0,47.4,90.0,0.0,,0.0,,,0.0
2036,ZLNM5UXX,M,298.9,308.6,1469.0,34.2,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,ZLNM5UXX,L,299.0,,1892.0,22.8,96.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,SXOJLV1H,H,299.0,,1940.0,,98.0,0.0,0.0,0.0,0.0,,0.0
2039,I2VROP6D,L,299.0,,,55.2,103.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,ZLNM5UXX,M,299.0,308.9,1449.0,39.6,105.0,0.0,0.0,0.0,0.0,,0.0
2041,BQHTAHUP,L,299.1,308.9,1686.0,29.6,108.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,ZLNM5UXX,L,299.1,308.9,1680.0,,110.0,0.0,,0.0,0.0,0.0,0.0
2043,8B6QZ6CV,M,299.1,308.9,1397.0,52.4,112.0,0.0,,0.0,,0.0,0.0
2044,BJGORJJD,M,299.2,309,1597.0,30.3,115.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,G5AIQWJK,L,299.3,309.1,1470.0,41.1,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,LSRXCBBX,M,299.3,309.1,1703.0,31.3,120.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,SXOJLV1H,L,299.3,309.1,1388.0,45.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,YSLIFO7U,L,,309.2,1775.0,24.2,125.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,JKSA1NQT,L,299.3,309.2,1465.0,41.5,127.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,FPIVWX8Z,M,299.3,309.2,1586.0,,129.0,0.0,,0.0,,0.0,0.0
2051,3HURBGV7,M,299.5,309.3,1675.0,29.2,132.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,LSRXCBBX,M,299.4,309.2,1470.0,44.4,135.0,0.0,0.0,,0.0,0.0,0.0
2053,SXOJLV1H,L,299.5,309.3,1477.0,40.4,138.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,BJGORJJD,L,,309.3,1382.0,,140.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,8B6QZ6CV,M,,309.4,1605.0,29.8,142.0,0.0,0.0,0.0,,0.0,0.0
2056,BQHTAHUP,L,299.6,309.4,,32.9,145.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,WX8CE3B8,L,299.5,309.3,1333.0,54.1,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,FPIVWX8Z,L,299.5,309.3,,42.3,149.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,YSLIFO7U,M,,309.3,,24.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,ZLNM5UXX,H,299.5,,1386.0,44.4,154.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,WX8CE3B8,L,299.6,309.5,1803.0,27.7,159.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,T8CRV8S7,L,,309.6,1359.0,50.7,161.0,0.0,0.0,,0.0,0.0,0.0
2063,I2VROP6D,M,,309.6,,42.7,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,YSLIFO7U,L,299.7,309.6,1321.0,53.4,166.0,0.0,,0.0,0.0,0.0,0.0
2065,0KXKNHFG,L,299.6,309.5,,41.4,168.0,0.0,0.0,,0.0,0.0,0.0
2066,FPIVWX8Z,L,299.7,309.6,1419.0,45.1,170.0,0.0,,0.0,0.0,,0.0
2067,8B6QZ6CV,L,299.7,309.6,,36.2,172.0,0.0,0.0,0.0,,0.0,0.0
2068,SXOJLV1H,L,299.7,309.6,1553.0,36.8,174.0,0.0,0.0,0.0,,0.0,0.0
2069,8B6QZ6CV,M,299.7,309.6,1534.0,39.1,176.0,0.0,0.0,,0.0,0.0,0.0
2070,I2VROP6D,H,299.7,309.6,1553.0,,179.0,0.0,0.0,0.0,0.0,0.0,0.0
2071,AEKNJJ1R,L,299.7,309.5,1352.0,49.7,184.0,0.0,0.0,0.0,0.0,,
2072,WX8CE3B8,M,299.7,309.6,,60.0,186.0,,0.0,0.0,0.0,0.0,
2073,3HURBGV7,L,299.6,309.5,1570.0,35.5,189.0,0.0,0.0,,0.0,0.0,1.0
2074,3HURBGV7,L,,309.4,1677.0,31.1,,,,0.0,0.0,0.0,0.0
2075,JKSA1NQT,L,299.5,309.4,1602.0,31.5,,0.0,0.0,0.0,0.0,0.0,0.0
2076,RRCROMQQ,L,299.5,309.4,1390.0,58.8,195.0,1.0,0.0,0.0,0.0,1.0,
2077,G5AIQWJK,L,299.4,,1544.0,36.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
2078,T8CRV8S7,L,299.4,309.4,1701.0,31.2,,0.0,0.0,0.0,0.0,0.0,0.0
2079,JKSA1NQT,M,299.4,309.3,1692.0,28.4,201.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,SXOJLV1H,M,299.3,309.3,1523.0,37.9,204.0,0.0,0.0,0.0,0.0,0.0,
2081,WX8CE3B8,L,,,2280.0,15.4,207.0,,0.0,0.0,0.0,0.0,0.0
2082,SXOJLV1H,M,299.4,309.3,1485.0,47.1,209.0,0.0,0.0,0.0,0.0,0.0,0.0
2083,SXOJLV1H,H,299.4,309.2,1513.0,36.1,212.0,,0.0,0.0,0.0,0.0,
2084,JKSA1NQT,H,299.4,,1743.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2085,BQHTAHUP,L,,309.3,1442.0,46.2,,0.0,0.0,0.0,0.0,0.0,0.0
2086,G5AIQWJK,L,299.5,309.3,1462.0,46.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2087,JKSA1NQT,H,299.4,309.3,1439.0,49.7,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2088,YSLIFO7U,L,299.5,309.3,1577.0,36.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2089,AEKNJJ1R,L,299.6,309.4,1331.0,46.4,16.0,,0.0,0.0,0.0,0.0,0.0
2090,JKSA1NQT,L,299.5,309.3,1941.0,22.5,18.0,0.0,0.0,,0.0,,0.0
2091,8B6QZ6CV,L,,,1393.0,47.3,20.0,0.0,,0.0,0.0,0.0,0.0
2092,XWW2WAV6,L,299.4,309.2,1433.0,42.1,22.0,,0.0,0.0,0.0,0.0,0.0
2093,AEKNJJ1R,L,,309.2,1444.0,48.2,24.0,0.0,0.0,0.0,,0.0,0.0
2094,XWW2WAV6,L,,309.2,1564.0,39.0,26.0,,0.0,0.0,0.0,,0.0
2095,SXOJLV1H,L,,309.3,1377.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,BJGORJJD,L,299.4,309.3,,41.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,RRCROMQQ,M,299.5,309.4,1387.0,56.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,G5AIQWJK,M,299.4,309.4,1326.0,47.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,FPIVWX8Z,L,299.4,309.3,,59.0,38.0,0.0,0.0,0.0,,,
2100,JKSA1NQT,L,299.4,309.3,1596.0,31.8,40.0,,0.0,0.0,0.0,0.0,0.0
2101,AEKNJJ1R,M,299.3,309.3,1471.0,46.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,WX8CE3B8,L,299.3,,1528.0,37.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,ZLNM5UXX,L,,309.3,,62.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,3HURBGV7,M,,309.1,,46.7,49.0,0.0,0.0,,0.0,0.0,0.0
2105,WX8CE3B8,M,299.3,309.1,1600.0,35.3,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,PSRXCDFQ,L,299.3,309.1,1495.0,44.0,55.0,0.0,0.0,0.0,,0.0,0.0
2107,LSRXCBBX,L,,309.1,1645.0,28.6,57.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,ZLNM5UXX,M,299.4,309.1,1417.0,47.3,59.0,,0.0,0.0,0.0,0.0,0.0
2109,BJGORJJD,H,299.4,,1415.0,51.7,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,I2VROP6D,M,299.3,309,1496.0,43.4,67.0,0.0,,0.0,0.0,0.0,0.0
2111,SXOJLV1H,H,299.3,,1508.0,,70.0,0.0,0.0,0.0,0.0,,0.0
2112,JT4UYCMS,L,,309,1436.0,47.9,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2113,YSLIFO7U,L,299.5,309.1,1852.0,22.6,77.0,0.0,0.0,0.0,0.0,0.0,
2114,YSLIFO7U,L,299.5,309.1,1863.0,22.5,79.0,0.0,0.0,0.0,0.0,0.0,
2115,I2VROP6D,H,299.4,309.1,1373.0,44.1,81.0,0.0,0.0,0.0,0.0,0.0,
2116,SXOJLV1H,L,299.4,,1404.0,47.3,86.0,0.0,0.0,,0.0,0.0,0.0
2117,G5AIQWJK,M,299.4,,1381.0,44.9,88.0,0.0,0.0,,0.0,,0.0
2118,RRCROMQQ,H,299.4,308.9,1762.0,29.3,91.0,0.0,,0.0,0.0,0.0,0.0
2119,BJGORJJD,H,,308.9,1429.0,43.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
2120,I2VROP6D,M,,308.9,1858.0,,101.0,0.0,0.0,0.0,0.0,0.0,0.0
2121,3HURBGV7,H,299.2,,1908.0,21.3,104.0,0.0,0.0,0.0,0.0,0.0,0.0
2122,FPIVWX8Z,M,299.2,308.8,1503.0,37.4,109.0,0.0,0.0,0.0,0.0,0.0,
2123,LSRXCBBX,M,299.2,308.8,,38.9,112.0,0.0,,0.0,0.0,0.0,0.0
2124,LSRXCBBX,L,299.3,309,1491.0,,115.0,0.0,0.0,0.0,,0.0,0.0
2125,RRCROMQQ,L,,308.9,1430.0,39.1,117.0,0.0,0.0,0.0,0.0,0.0,0.0
2126,G5AIQWJK,L,299.3,308.9,1258.0,69.4,119.0,1.0,0.0,0.0,1.0,0.0,0.0
2127,BJGORJJD,L,299.3,309,1449.0,46.5,121.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,WX8CE3B8,H,,,1425.0,40.6,123.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,WX8CE3B8,L,299.4,309,1800.0,24.3,128.0,0.0,0.0,0.0,,0.0,0.0
2130,AEKNJJ1R,H,299.4,309,1607.0,33.7,130.0,0.0,0.0,,0.0,0.0,0.0
2131,0KXKNHFG,L,299.4,309,1391.0,58.2,135.0,0.0,0.0,0.0,0.0,0.0,0.0
2132,PSRXCDFQ,L,299.4,309.1,1432.0,45.4,137.0,0.0,0.0,0.0,0.0,0.0,0.0
2133,XWW2WAV6,L,299.4,309,1660.0,,,0.0,0.0,,0.0,0.0,0.0
2134,T8CRV8S7,H,,309,1732.0,29.7,141.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,XWW2WAV6,L,299.3,309,,,146.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,ZLNM5UXX,L,299.3,309,,47.8,148.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,ZLNM5UXX,L,,308.9,1588.0,41.5,150.0,0.0,0.0,0.0,0.0,0.0,0.0
2138,T8CRV8S7,L,299.3,308.9,1623.0,31.1,152.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,8B6QZ6CV,L,299.3,309,1734.0,30.6,154.0,,0.0,0.0,0.0,0.0,0.0
2140,PSRXCDFQ,L,299.3,309,1415.0,47.6,156.0,0.0,0.0,0.0,0.0,0.0,
2141,WX8CE3B8,L,299.3,309,1419.0,46.6,158.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,T8CRV8S7,M,299.3,308.9,,34.9,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,8B6QZ6CV,L,299.3,308.9,1376.0,60.3,163.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,WX8CE3B8,M,299.3,308.8,1442.0,49.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,JT4UYCMS,L,299.4,308.9,1451.0,40.5,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,0KXKNHFG,L,299.3,308.8,1550.0,45.8,170.0,0.0,0.0,0.0,0.0,0.0,
2147,BQHTAHUP,L,299.3,308.8,1647.0,32.9,172.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,G5AIQWJK,L,299.4,308.9,1550.0,33.7,174.0,0.0,0.0,0.0,,0.0,0.0
2149,LSRXCBBX,L,299.4,308.9,,34.1,176.0,0.0,0.0,0.0,0.0,0.0,0.0
2150,YSLIFO7U,L,299.4,309,1613.0,32.2,178.0,0.0,0.0,0.0,,,
2151,3HURBGV7,H,,308.8,1636.0,35.5,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,8B6QZ6CV,M,,308.7,1289.0,51.5,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,BJGORJJD,M,299.3,,1648.0,28.4,188.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,G5AIQWJK,H,299.3,308.8,1397.0,45.4,191.0,0.0,0.0,,0.0,0.0,0.0
2155,SXOJLV1H,M,299.3,308.9,1767.0,24.8,196.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,G5AIQWJK,L,299.3,308.8,1341.0,47.7,,0.0,0.0,0.0,0.0,0.0,0.0
2157,JKSA1NQT,M,299.4,308.9,1457.0,41.5,201.0,0.0,0.0,0.0,0.0,0.0,0.0
2158,RRCROMQQ,M,299.4,309,1939.0,19.8,204.0,0.0,0.0,0.0,0.0,0.0,
2159,RRCROMQQ,M,299.5,309,,49.7,207.0,0.0,,0.0,0.0,0.0,0.0
2160,BJGORJJD,M,299.5,309,1602.0,31.3,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,WX8CE3B8,L,299.4,,1507.0,41.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
2162,JT4UYCMS,L,,309.1,1464.0,40.5,215.0,0.0,0.0,0.0,0.0,0.0,0.0
2163,8B6QZ6CV,L,299.5,,1336.0,42.1,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2164,T8CRV8S7,L,299.6,309.2,1422.0,39.8,219.0,,0.0,0.0,0.0,0.0,0.0
2165,YSLIFO7U,L,,309.2,1540.0,36.7,221.0,0.0,0.0,0.0,0.0,0.0,0.0
2166,G5AIQWJK,L,299.5,309.1,1476.0,47.8,223.0,0.0,,0.0,0.0,0.0,0.0
2167,SXOJLV1H,M,299.6,309.2,1867.0,23.4,225.0,1.0,1.0,0.0,0.0,0.0,0.0
2168,RRCROMQQ,H,299.6,,1588.0,41.3,0.0,0.0,0.0,,0.0,0.0,
2169,YSLIFO7U,M,299.5,309.1,1420.0,49.5,5.0,,0.0,0.0,0.0,0.0,
2170,I2VROP6D,L,299.5,309.1,1415.0,49.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2171,BQHTAHUP,M,299.4,309.1,1500.0,43.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,BJGORJJD,L,,309.1,1502.0,44.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,BQHTAHUP,L,299.5,309.2,,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2174,JT4UYCMS,M,299.5,309.2,,41.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,0KXKNHFG,L,299.6,309.2,1572.0,33.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2176,LSRXCBBX,M,,309.2,1590.0,35.9,22.0,0.0,0.0,,0.0,0.0,0.0
2177,FPIVWX8Z,M,,309.3,1387.0,48.3,,0.0,,0.0,0.0,0.0,0.0
2178,LSRXCBBX,M,299.6,309.2,1393.0,47.7,,0.0,0.0,0.0,0.0,0.0,0.0
2179,XWW2WAV6,L,299.6,309.2,,37.3,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,YSLIFO7U,L,,309.2,1601.0,33.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,FPIVWX8Z,H,299.6,309.2,,36.3,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,FPIVWX8Z,H,,309.1,1548.0,44.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,LSRXCBBX,M,,309.2,1314.0,61.8,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,0KXKNHFG,M,,309.3,1577.0,39.8,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,RRCROMQQ,L,299.8,309.4,1475.0,43.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,0KXKNHFG,L,299.8,309.4,1630.0,32.4,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,SXOJLV1H,L,,309.4,,42.9,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,SXOJLV1H,M,299.8,309.4,1439.0,47.4,57.0,0.0,,0.0,0.0,0.0,0.0
2189,3HURBGV7,L,299.7,309.3,1420.0,44.1,60.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,ZLNM5UXX,H,299.7,309.2,1554.0,41.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,FPIVWX8Z,M,299.6,309.1,1471.0,44.3,67.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,FPIVWX8Z,L,,309,1648.0,33.6,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,PSRXCDFQ,L,,309,1472.0,48.8,,0.0,0.0,0.0,0.0,0.0,0.0
2194,3HURBGV7,M,299.5,308.9,1448.0,42.9,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,JKSA1NQT,M,299.6,308.9,1568.0,35.3,,0.0,0.0,0.0,0.0,0.0,
